id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,damage_dealt,own_hp_before,own_hp_after,damage_taken,hit_landed
1,1,MOVE_TO,mob1,2.0,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,20.0,16.0,4.0,false
2,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,16.0,18.0,-2.0,true
3,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,18.0,20.0,-2.0,true
4,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,20.0,20.0,0.0,true
5,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,12.080002,0.0,20.0,20.0,0.0,false
6,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,12.080002,0.0,20.0,20.0,0.0,false
7,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,20.0,20.0,0.0,true
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,2.6399999,20.0,20.0,0.0,true
9,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,2.6399999,20.0,20.0,0.0,true
10,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,2.6399999,20.0,20.0,0.0,true
