id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,damage_dealt,own_hp_before,own_hp_after,damage_taken,hit_landed
1,1,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
2,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
3,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,20.0,16.0,4.0,false
4,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,16.0,18.0,-2.0,true
5,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.5646925,66.0,14.249622>",17.36,17.36,0.0,18.0,19.0,-1.0,false
6,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,19.0,20.0,-1.0,true
7,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.503391,66.0,15.371596>",14.720001,14.720001,0.0,20.0,20.0,0.0,false
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,20.0,20.0,0.0,true
9,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,12.080002,12.080002,0.0,20.0,20.0,0.0,false
10,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,20.0,20.0,0.0,true
11,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,2.6399999,20.0,20.0,0.0,true
12,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,2.6399999,20.0,20.0,0.0,true
13,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.5005,66.0,14.848593>",4.1600027,4.1600027,0.0,20.0,20.0,0.0,false
14,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,0.0,20.0,20.0,0.0,false
15,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,2.6399999,20.0,20.0,0.0,true
16,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500304,66.0,15.836026>",1.5200028,1.5200028,0.0,20.0,20.0,0.0,false
17,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,1.5200028,0.0,20.0,20.0,0.0,false
18,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500041,65.9375,19.944668>",1.5200028,1.5200028,0.0,20.0,20.0,0.0,false
19,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,,20.0,20.0,0.0,false
20,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,20.0,16.0,4.0,false
21,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,16.0,16.0,0.0,false
22,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,16.0,18.0,-2.0,true
23,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,18.0,20.0,-2.0,true
24,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,14.720001,0.0,20.0,20.0,0.0,false
25,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.505331,66.0,15.27758>",14.720001,14.720001,0.0,20.0,20.0,0.0,false
26,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,14.720001,14.720001,0.0,20.0,20.0,0.0,false
27,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,20.0,20.0,0.0,true
28,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,20.0,20.0,0.0,true
29,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,0.0,20.0,20.0,0.0,false
30,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,9.440002,9.440002,0.0,20.0,20.0,0.0,false
31,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,2.6399999,20.0,20.0,0.0,true
32,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,2.6399999,20.0,20.0,0.0,true
33,2,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,4.1600027,4.1600027,0.0,20.0,20.0,0.0,false
34,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.5005455,66.0,16.00035>",4.1600027,4.1600027,0.0,20.0,20.0,0.0,false
35,2,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.500047,65.9375,17.36998>",4.1600027,4.1600027,0.0,20.0,15.0,5.0,false
36,2,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,2.6399999,15.0,17.0,-2.0,true
37,2,RETREAT,mob1,,INPROGRESS,1.5200028,1.5200028,0.0,17.0,20.0,-3.0,false
38,3,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,0.0,20.0,20.0,0.0,false
39,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
40,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,0.0,20.0,20.0,0.0,false
41,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,0.0,20.0,20.0,0.0,false
42,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,2.6399994,20.0,17.0,3.0,true
43,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,2.6399994,17.0,19.0,-2.0,true
44,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,2.6399994,19.0,20.0,-1.0,true
45,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,12.080002,9.440002,2.6399994,20.0,20.0,0.0,true
46,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,9.440002,6.8000026,2.6399999,20.0,20.0,0.0,true
47,3,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,6.8000026,6.8000026,0.0,20.0,20.0,0.0,false
48,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,6.8000026,4.1600027,2.6399999,20.0,20.0,0.0,true
49,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,4.1600027,1.5200028,2.6399999,20.0,20.0,0.0,true
50,3,ATTACK,mob1,,SUCCESS. Solved by wait 20,1.5200028,,,20.0,20.0,0.0,false
