episode,actions,total_reward,time_ms,dist_cov,own_hp_cov,mob_hp_cov,actions_cov,state_action_cov_cumulative
1,19,20.0,12294,3/4,1/5,5/5,3/3,10/108
2,18,20.0,13063,4/4,1/5,5/5,3/3,11/108
3,17,12.0,14143,3/4,1/5,5/5,3/3,15/108
4,16,17.0,11288,3/4,1/5,5/5,3/3,15/108
5,14,15.0,11047,3/4,1/5,5/5,3/3,16/108
6,14,3.666666030883789,11858,3/4,2/5,5/5,3/3,17/108
7,17,10.0,13639,4/4,1/5,5/5,3/3,17/108
8,20,20.0,12361,4/4,1/5,5/5,3/3,18/108
9,11,11.0,10916,3/4,2/5,5/5,3/3,19/108
10,14,20.0,12907,4/4,1/5,5/5,3/3,19/108
