id,episode,action,target,param,goal_status,mob_hp_before,mob_hp_after,mob_hp_bucket_before,mob_hp_bucket_after,damage_dealt,own_hp_before,own_hp_after,own_hp_bucket_before,own_hp_bucket_after,damage_taken,hit_landed
1,1,RETREAT,mob1,,NOT APPLICABLE,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
2,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,20.0,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
3,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,20.0,15.0,HIGH,HIGH,5.0,false
4,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,20.0,20.0,HIGH,HIGH,0.0,15.0,15.0,HIGH,HIGH,0.0,false
5,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,20.0,17.36,HIGH,HIGH,2.6399994,16.0,18.0,HIGH,HIGH,-2.0,true
6,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,17.36,17.36,HIGH,HIGH,0.0,18.0,18.0,HIGH,HIGH,0.0,false
7,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.588011,66.0,14.024675>",17.36,17.36,HIGH,HIGH,0.0,18.0,19.0,HIGH,HIGH,-1.0,false
8,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,17.36,14.720001,HIGH,HIGH,2.6399994,19.0,20.0,HIGH,HIGH,-1.0,true
9,1,RETREAT,mob1,,"SUCCESS. Solved by move_to <10.504408,66.0,15.4758005>",14.720001,14.720001,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
10,1,APPROACH,mob1,,SUCCESS. Solved by move_to mob1,14.720001,14.720001,HIGH,HIGH,0.0,20.0,20.0,HIGH,HIGH,0.0,false
11,1,ATTACK,mob1,,SUCCESS. Solved by wait 20,14.720001,12.080002,HIGH,MEDIUM,2.6399994,20.0,20.0,HIGH,HIGH,0.0,true
